,hookload,friction_factor,depth,rig_state
344,222.95924538867726,-0.15,10604.575057471264,off_bottom_RIH
345,212.29809947567574,-0.3,10604.575057471264,off_bottom_RIH
346,197.79726920622903,-0.45,10604.575057471264,off_bottom_RIH
350,228.42560779193468,0.0,10404.488735632183,off_bottom_static
351,236.8519553448401,0.15,10404.488735632183,off_bottom_POOH
352,247.0957247579742,0.3,10404.488735632183,off_bottom_POOH
353,262.3383087563479,0.45,10404.488735632183,off_bottom_POOH
354,220.18719843434,-0.15,10404.488735632183,off_bottom_RIH
355,210.33842676124803,-0.3,10404.488735632183,off_bottom_RIH
356,197.1332037163948,-0.45,10404.488735632183,off_bottom_RIH
360,224.99404487423482,0.0,10204.402413793103,off_bottom_static
361,232.89376637568327,0.15,10204.402413793103,off_bottom_POOH
362,242.25588946759459,0.3,10204.402413793103,off_bottom_POOH
363,255.53005598375194,0.45,10204.402413793103,off_bottom_POOH
364,217.29969942114184,-0.15,10204.402413793103,off_bottom_RIH
365,208.24145174596703,-0.3,10204.402413793103,off_bottom_RIH
366,196.27218494667736,-0.45,10204.402413793103,off_bottom_RIH
370,221.5189368326721,0.0,10004.316091954022,off_bottom_static
371,228.89411924798202,0.15,10004.316091954022,off_bottom_POOH
372,237.4346462704388,0.3,10004.316091954022,off_bottom_POOH
373,248.74905768060574,0.45,10004.316091954022,off_bottom_POOH
374,214.35001013828554,-0.15,10004.316091954022,off_bottom_RIH
375,206.08868608436143,-0.3,10004.316091954022,off_bottom_RIH
376,195.333575495694,-0.45,10004.316091954022,off_bottom_RIH
380,218.04377044677716,0.0,9804.229770114942,off_bottom_static
381,224.93761666297496,0.15,9804.229770114942,off_bottom_POOH
382,232.77778723341558,0.3,9804.229770114942,off_bottom_POOH
383,242.5190432807381,0.45,9804.229770114942,off_bottom_POOH
384,211.38567132942546,-0.15,9804.229770114942,off_bottom_RIH
385,203.94955759554878,-0.3,9804.229770114942,off_bottom_RIH
386,194.43542744536956,-0.45,9804.229770114942,off_bottom_RIH
390,214.5643702613713,0.0,9604.143448275861,off_bottom_static
