,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,service_life
88,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,2.8000000000000003
89,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,2.9000000000000004
90,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.0
91,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.1
92,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.2
93,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.3000000000000003
94,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.4000000000000004
95,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.5
96,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.6
97,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.7
98,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.8000000000000003
99,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,3.9000000000000004
100,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.0
101,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.1000000000000005
102,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.2
103,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.3
104,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.4
105,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.5
106,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.6000000000000005
107,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.7
108,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.800000000000001
109,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,4.9
110,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.0
111,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.1000000000000005
112,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.2
113,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.300000000000001
114,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.4
115,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.5
116,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.6000000000000005
117,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.7
118,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.800000000000001
119,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,5,thin_pipe,internal_surface,circumferential,90,5.9
120,0.07079052284719745,0.8826230739415437,0.669973121931362,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5,10,thin_pipe,internal_surface,circumferential,90,0.0
121,0.0708517471144159,0.882620617592263,0.6699789652324942,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5008758069591274,10,thin_pipe,internal_surface,circumferential,90,0.1
122,0.0709748511623861,0.8826156718563097,0.6699907304259555,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5026391173798057,10,thin_pipe,internal_surface,circumferential,90,0.2
123,0.07116117361972298,0.8826080499033818,0.6700085782058033,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.505313844966852,10,thin_pipe,internal_surface,circumferential,90,0.30000000000000004
124,0.07141277945926704,0.8825975495125009,0.6700327573305974,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.50893700230233,10,thin_pipe,internal_surface,circumferential,90,0.4
125,0.07173252853084691,0.8825841491779177,0.6700636141211537,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5135601050581168,10,thin_pipe,internal_surface,circumferential,90,0.5
126,0.07212417406755844,0.8825676501606347,0.6701016062113906,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.519251204129908,10,thin_pipe,internal_surface,circumferential,90,0.6000000000000001
127,0.07259249820987414,0.8825477970885014,0.6701473216437115,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5260977060125425,10,thin_pipe,internal_surface,circumferential,90,0.7000000000000001
128,0.0731434948409048,0.8825242666420039,0.6702015049221036,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.53421021818293,10,thin_pipe,internal_surface,circumferential,90,0.8
129,0.07378461464723104,0.8824966521896632,0.6702650923920219,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5437277668609832,10,thin_pipe,internal_surface,circumferential,90,0.9
130,0.07452509409902523,0.8824644428535896,0.6703392604458873,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5548248996010597,10,thin_pipe,internal_surface,circumferential,90,1.0
131,0.07537640026355781,0.8824269947318584,0.6704254917889789,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.5677214384502131,10,thin_pipe,internal_surface,circumferential,90,1.1
