,component,service_life,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,initial_flaw_depth,initial_flaw_length,final_flaw_depth,final_flaw_length,K_r,L_r,K_r_allowable
98,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,15,640639.6199952584,15,24.249770299885988,0.4664904147964624,0.9470973649877373
99,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,20,640639.6199952584,20,24.249757116255953,0.4567365029844878,0.9493320786663202
100,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,25,640639.6199952584,25,24.24974121440403,0.4450503646112357,0.9519307690270576
101,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,30,640639.6199952584,30,24.249723197993543,0.431915582927956,0.9547579533171152
102,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,35,640639.6199952584,35,24.249703655445742,0.4177963072847419,0.9576826726981468
103,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,40,640639.6199952584,40,24.249683122227452,0.40310696884209263,0.9606070853304621
104,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,50,640639.6199952584,50,24.249640844483057,0.37334167699498205,0.966183063685811
105,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,60,640639.6199952584,60,24.249599076932146,0.3445875893359596,0.9711416036500325
106,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,80,640639.6199952584,80,24.24952252269444,0.2936444862532133,0.9789459647603124
107,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,100,640639.6199952584,100,24.249457922158072,0.25252747560294386,0.9843574683619766
108,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,120,640639.6199952584,120,24.2494045400514,0.21992915640165983,0.988093279529463
109,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,150,640639.6199952584,150,24.249341182719466,0.18297050243705146,0.9917193818578789
110,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,180,640639.6199952584,180,24.24929252917607,0.15595510929969614,0.9939648917792802
111,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,internal_surface,90,1.0,200,640639.6199952584,200,24.24926603301038,0.14177461044197384,0.9950069233939435
112,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,5,9394758.615990007,5,67.60172643044851,0.4785890533263373,0.944244628805245
113,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,10,9394758.615990007,10,67.60172086504582,0.47442962180198717,0.9452331756003889
114,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,15,9394758.615990007,15,67.60171187393433,0.46773190890456023,0.9468103273004201
115,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,20,9394758.615990007,20,67.60169984551818,0.45881438572598204,0.9488646691895418
116,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,25,9394758.615990007,25,67.60168525649605,0.44806470950878596,0.9512710068539643
117,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,30,9394758.615990007,30,67.60166862349195,0.4358983932113744,0.9539097087252778
118,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,35,9394758.615990007,35,67.60165045995493,0.4227226808556368,0.9566740645106065
119,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,40,9394758.615990007,40,67.60163124346334,0.4089099588890589,0.9594686161478523
120,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,50,9394758.615990007,50,67.60159126943172,0.38060258680444603,0.9648694605717995
121,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,60,9394758.615990007,60,67.60155127200261,0.3528691576833435,0.9697562968223203
122,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,80,9394758.615990007,80,67.60147678924896,0.3028664750234248,0.9776249225104378
123,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,100,9394758.615990007,100,67.60141290870648,0.2617760179722122,0.983209921811936
124,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,120,9394758.615990007,120,67.60135952266059,0.22878838366395346,0.9871257167546613
125,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,150,9394758.615990007,150,67.60129557541376,0.19100529721767964,0.9909874010296859
126,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,180,9394758.615990007,180,67.60124611349978,0.16316441988278382,0.9933999912296887
127,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,external_surface,90,1.0,200,9394758.615990007,200,67.6012190693235,0.14848513410249353,0.9945273158805364
128,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,5,188.809801625479,5,0.03870762635204282,0.9657866698514769,0.6741137086084217
129,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,10,188.84241126346518,10,0.05990420029819793,0.3721258988058497,0.9664024977520732
130,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,15,188.8653988411839,15,0.08099758558879121,0.24984794087882164,0.9846868486050964
131,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,20,188.87849211467105,20,0.10257251986711191,0.19828477952043022,0.990294235182519
132,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,25,188.88299817035616,25,0.12452114555035067,0.16998691531381316,0.9928471393371886
133,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,30,188.88091301710926,30,0.14677305061142937,0.15213733296794843,0.9942560473000215
134,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,35,188.873951022206,35,0.16927407577195508,0.13986137198506376,0.9951429970268231
135,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",1,thin_pipe,axial,embedded,90,14.9,40,188.86233947919547,40,0.19198571371893752,0.13090629717663788,0.9957399159549697
